"Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Número de Finca;Matrícula;Location;Address"
"439596.3217;4474269.236;41785;01  CENTRO;01-01 PALACIO;NOBLEJAS, CALLE, DE;2;301110016;439596.3217:4474269.236; CALLE  DE NOBLEJAS 2"
"439621.3422;4473423.39;41787;01  CENTRO;01-01 PALACIO;PALOMA, CALLE, DE LA;1;301110064;439621.3422:4473423.39; CALLE  DE LA PALOMA 1"
"439526.2831;4473772.539;41786;01  CENTRO;01-01 PALACIO;REDONDILLA, CALLE, DE LA;11;301110043;439526.2831:4473772.539; CALLE  DE LA REDONDILLA 11"
"439340.4617;4473439.55;41787;01  CENTRO;01-01 PALACIO;ROSARIO, CALLE, DEL;21;301110062;439340.4617:4473439.55; CALLE  DEL ROSARIO 21"
"439621.5507;4473863.636;41786;01  CENTRO;01-01 PALACIO;SAN ANDRES, COSTANILLA, DE;8;301110038;439621.5507:4473863.636; COSTANILLA  DE SAN ANDRES 8"
"439417.45;4473405.555;41787;01  CENTRO;01-01 PALACIO;SAN BERNABE, CALLE, DE;13;301110066;439417.45:4473405.555; CALLE  DE SAN BERNABE 13"
"439365.8005;4473644.224;41786;01  CENTRO;01-01 PALACIO;SAN BUENAVENTURA, CALLE, DE;4;301110051;439365.8005:4473644.224; CALLE  DE SAN BUENAVENTURA 4"
"439599.9619;4473649.55;41786;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;2;301110050;439599.9619:4473649.55; CARRERA  DE SAN FRANCISCO 2"
"439473.307;4473601.576;41786;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;14;301110054;439473.307:4473601.576; CARRERA  DE SAN FRANCISCO 14"
"439500.6702;4473595.509;41786;01  CENTRO;01-01 PALACIO;SAN ISIDRO LABRADOR, CALLE, DE;11;301110055;439500.6702:4473595.509; CALLE  DE SAN ISIDRO LABRADOR 11"
"439703.7788;4473820.441;41786;01  CENTRO;01-01 PALACIO;SAN PEDRO, COSTANILLA, DE;10;301110034;439703.7788:4473820.441; COSTANILLA  DE SAN PEDRO 10"
"439667.6324;4473907.894;41786;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;13;301110037;439667.6324:4473907.894; CALLE  DE SEGOVIA 13"
"439415.3436;4473949.135;41785;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;23;301110027;439415.3436:4473949.135; CALLE  DE SEGOVIA 23"
"439538.2025;4473951.358;41785;01  CENTRO;01-01 PALACIO;SEGOVIA, CALLE, DE;24;301110029;439538.2025:4473951.358; CALLE  DE SEGOVIA 24"
