COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
00639950;CALLE;DE;RICARDO BELTRÁN Y RÓZPIDE;00299700;CALLE;DE;FORNILLOS;00627450;AVENIDA;DE;RAFAELA YBARRA
00640000;CALLE;DE;RICARDO CALVO;00217000;CALLE;DE;COSTA RICA;00027700;AVENIDA;DE;ALFONSO XIII
00640100;CALLE;DE;RICARDO DAMAS;00453700;CALLE;DEL;MAESTRO ARBÓS;00738900;CALLE;DEL;TENIENTE CORONEL NOREÑA
31003585;GLORIETA;DE;RICARDO DE BASTIDA;31001744;AVENIDA;DE;MANUEL FRAGA IRIBARNE;31001596;AVENIDA;DE;JOSÉ ANTONIO CORRALES
00641000;CALLE;DE;RICARDO DE LA VEGA;00746500;AVENIDA;DE LOS;TOREROS;99000001;LUGAR;;FONDO DE SACO
00640400;CALLE;DE;RICARDO GOIZUETA;00262000;CALLE;DE;EMBAJADORES;00640100;CALLE;DE;RICARDO DAMAS
00640500;CALLE;DE;RICARDO GUTIÉRREZ;00538000;CALLE;DE;NUESTRA SEÑORA DEL CARMEN;00561900;CALLE;DEL;PANIZO
00640600;CALLE;DE;RICARDO LEÓN;00325100;CALLE;DE;GARCÍA MOLINAS;00331300;CALLE;DEL;GENERAL MITRE
00640800;CALLE;DE;RICARDO ORTIZ;00233600;AVENIDA;DE;DAROCA;00484400;AVENIDA;DEL;MARQUÉS DE CORBERA
00640845;CALLE;DE;RICARDO SAN JUAN;00133455;CARRETERA;DE;CANILLAS;00441300;CALLE;DE;LÓPEZ DE HOYOS
00640900;CALLE;DE;RICARDO SEPÚLVEDA;99000001;LUGAR;;FONDO DE SACO;00357200;CALLE;DE LOS;HERMANOS GÓMEZ
00000834;GLORIETA;DE;RICARDO VELÁZQUEZ BOSCO;00000835;PUENTE;DE;FELIPE JUVARA;00772100;AVENIDA;DEL;VEINTICINCO DE SEPTIEMBRE
00002515;CALLE;DE;RICLA;00777860;CALLE;;VÍA CARPETANA;00071500;CALLE;DE;ARIZA
00641100;PLAZA;DE;RICLA;00777860;CALLE;;VÍA CARPETANA;00071500;CALLE;DE;ARIZA
00002579;CALLE;DE;RIGA;00002569;CALLE;DE;AQUITANIA;00002573;CALLE;DE;RÁVENA
00641200;CALLE;DE;RIGEL;00509700;CALLE;DE;MIRA CETI;00437450;CALLE;DE;LIBRA
00002580;CALLE;DE;RÍMINI;00002569;CALLE;DE;AQUITANIA;00002573;CALLE;DE;RÁVENA
00641260;CALLE;DEL;RINCÓN DE LA SOLANA;00631850;AVENIDA;;REAL;00322100;CALLE;DE LOS;GALLEGOS
00641275;CALLE;DEL;RINCÓN DE LA VICTORIA;00316020;CALLE;DE;FUENTE DE PIEDRA;00314100;CALLE;DE;FUENGIROLA
00641285;PASEO;DE LA;RINCONADA;00154400;CARRETERA;DE;CASTILLA;99000001;LUGAR;;FONDO DE SACO
00641400;CALLE;DEL;RÍO;00433800;CALLE;DE;LEGANITOS;00088200;CALLE;DE;BAILÉN
00641500;CAMINO;DEL;RÍO;31000480;CALLE;DE LA;MADRE ROSA BLANCO;00252500;CALLE;DEL;DULCE
00001883;CALLE;DEL;RÍO ADAJA;00001882;CALLE;DEL;RÍO ARLANZÓN;00001867;CALLE;DE;VALTRAVIESO
00001881;CALLE;DEL;RÍO ÁGUEDA;00649325;CALLE;DE LAS;ROSAS DE ARAVACA;00001867;CALLE;DE;VALTRAVIESO
00000803;CALLE;DEL;RÍO ARAUCA;00000798;CALLE;DEL;RÍO SAN LORENZO;00346600;CALLE;DEL;GUADAIRA
00001882;CALLE;DEL;RÍO ARLANZÓN;00001873;CALLE;DE LA;VÍA LÁCTEA;00001880;CALLE;DEL;RÍO TIÉTAR
00000799;CALLE;DEL;RÍO BRAVO;00000798;CALLE;DEL;RÍO SAN LORENZO;00560000;AVENIDA;DE LAS;PALOMERAS
00641501;CALLE;DEL;RÍO BULLAQUE;00691050;CALLE;DE;SANGENJO;00765850;CALLE;DE;VALENCIA DE DON JUAN
00000814;CALLE;DEL;RÍO CHICO;00741600;CALLE;DE LA;TIERRUCA;00618400;CALLE;DEL;PUERTO DEL PICO
00000824;CALLE;DEL;RÍO COLORADO;00000820;CALLE;DEL;GOLFO DE DARIÉN;00000823;CALLE;DEL;LAGO SAN MARTÍN
00000813;CALLE;DEL;RÍO CORRIENTES;00000808;CALLE;DEL;RÍO IGUAZÚ;00000809;CALLE;DEL;RÍO PARANÁ
31001839;CALLE;DEL;RIO CUERVO;00789500;CARRETERA;DE;VILLAVERDE A VALLECAS;31001727;CARRETERA;;M-31
00000801;CALLE;DEL;RÍO DE LA PLATA;00000798;CALLE;DEL;RÍO SAN LORENZO;00560000;AVENIDA;DE LAS;PALOMERAS
00641700;CALLE;DEL;RÍO DE ORO;00332700;CALLE;DEL;GENERAL RICARDOS;00767900;CALLE;DE;VALLE DE ORO
00002284;CALLE;DEL;RÍO DUERO;00340100;CALLE;DE;GÓMEZNARRO;00109900;CALLE;DE;BOECILLO
00002287;CALLE;DEL;RÍO ESGUEVA;00518800;CALLE;DE;MONTEMAYOR DE PILILLA;00494300;CALLE;DE;MATAPOZUELOS
00001884;CALLE;DEL;RÍO ESLA;00001882;CALLE;DEL;RÍO ARLANZÓN;00001867;CALLE;DE;VALTRAVIESO
00000819;CALLE;DEL;RÍO ESMERALDA;00573400;CALLE;DE;PEDRO LABORDE;00554750;AVENIDA;DE;PABLO NERUDA
00000806;CALLE;DEL;RÍO GRANDE;00719800;CALLE;DE LA;SIERRA SALVADA;00000798;CALLE;DEL;RÍO SAN LORENZO
00000808;CALLE;DEL;RÍO IGUAZÚ;00117400;AVENIDA;DE;BUENOS AIRES;00000807;CALLE;DEL;RÍO SALADO
00000815;CALLE;DEL;RÍO JACUÍ;00741600;CALLE;DE LA;TIERRUCA;00000814;CALLE;DEL;RÍO CHICO
00000805;CALLE;DEL;RÍO MAGDALENA;00000802;CALLE;DEL;RÍO SAN PEDRO;00000803;CALLE;DEL;RÍO ARAUCA
00641550;CALLE;DEL;RÍO MATARRAÑA;00018900;CALLE;DE;ALCALÁ;99000001;LUGAR;;FONDO DE SACO
00000804;CALLE;DEL;RÍO NEGRO;00075500;CALLE;DEL;ARROYO DEL OLIVAR;00346600;CALLE;DEL;GUADAIRA
00001863;CALLE;DEL;RÍO NELA;00369600;CARRETERA;DE;HÚMERA;00369500;CALLE;DE;HÚMERA
00641600;CALLE;DEL;RÍO NERVIÓN;00344700;CALLE;DE;GREGORIO DONAS;00398700;CALLE;DE;JOSÉ ARCONES GIL
00000810;CALLE;DEL;RÍO ORINOCO;00560000;AVENIDA;DE LAS;PALOMERAS;00573400;CALLE;DE;PEDRO LABORDE
00000809;CALLE;DEL;RÍO PARANÁ;00117400;AVENIDA;DE;BUENOS AIRES;00573400;CALLE;DE;PEDRO LABORDE
00000807;CALLE;DEL;RÍO SALADO;00560000;AVENIDA;DE LAS;PALOMERAS;00573400;CALLE;DE;PEDRO LABORDE
00001889;CALLE;DEL;RÍO SALOR;00001886;CALLE;DE LA;BOLA DEL MUNDO;00001885;CALLE;DE;LA PINILLA
00000798;CALLE;DEL;RÍO SAN LORENZO;00560000;AVENIDA;DE LAS;PALOMERAS;00346600;CALLE;DEL;GUADAIRA
00000802;CALLE;DEL;RÍO SAN PEDRO;00000798;CALLE;DEL;RÍO SAN LORENZO;00560000;AVENIDA;DE LAS;PALOMERAS
00001864;CALLE;DEL;RÍO SELLA;99000003;LUGAR;;LÍMITE TÉRMINO MUNICIPAL;00076201;CALLE;DEL;ARROYO DE POZUELO
00001880;CALLE;DEL;RÍO TIÉTAR;00649325;CALLE;DE LAS;ROSAS DE ARAVACA;00001867;CALLE;DE;VALTRAVIESO
00641750;CALLE;DEL;RÍO ULLA;00018900;CALLE;DE;ALCALÁ;00309000;CALLE;DE;FRANCISCO ROMERO
00000909;GLORIETA;DEL;RÍO URUBAMBA;00000901;CALLE;DE;ACONCAGUA;00000963;CALLE;DE;MANUEL AZAÑA
00000811;CALLE;DEL;RÍO URUGUAY;00560000;AVENIDA;DE LAS;PALOMERAS;00573400;CALLE;DE;PEDRO LABORDE
00001890;GLORIETA;DEL;RÍO ZÁNCARA;00369600;CARRETERA;DE;HÚMERA;00076201;CALLE;DEL;ARROYO DE POZUELO
00002544;CALLE;DE;RIOBAMBA;00018900;CALLE;DE;ALCALÁ;00723900;CALLE;DE;SIRO MUELA
00002393;CALLE;DE;RIOCABADO;00002392;CALLE;DE;GOTARRENDURA;00143400;CALLE;DE;CARLOS FUENTES
00641800;CALLE;DE;RIOCONEJOS;00525200;CALLE;DE;MUELAS DEL PAN;00783400;CALLE;DE LOS;VIDRIALES
00641900;PLAZA;DE;RIOFRÍO;00202300;CALLE;DEL;CONCEJAL JULIO GÓMEZ;00260000;CALLE;DEL;ELFO
00641925;CALLE;DE LOS;RIOJANOS;00444950;CALLE;DE;LUIS BUÑUEL;00444950;CALLE;DE;LUIS BUÑUEL
00642000;CALLE;DE;RÍOS ROSAS;00114600;CALLE;DE;BRAVO MURILLO;00009800;CALLE;DE;AGUSTÍN DE BETANCOURT
00000783;CALLE;DEL;RISCO DE LOS CLAVELES;00804100;CALLE;DE LA;ZARZA;00003250;CALLE;DE;ACAMAR
00001153;CALLE;DEL;RISCO DE LOS GAVILANES;99000001;LUGAR;;FONDO DE SACO;00001395;CALLE;DEL;VALLE DE PINARES LLANOS
00642200;CALLE;DEL;RISCO DE PELOCHE;00589200;CALLE;DEL;PICO DE LA MALICIOSA;00108800;CALLE;DE;BOADA
00642100;CALLE;DEL;RISCO DEL PÁJARO;00121300;CALLE;DE;CABEZA REINA;31000434;JARDIN;DEL;CERRO VENTOSO
00001408;CALLE;DE LOS;RISCOS DE POLANCO;00629950;CALLE;DE;RAMÓN GÓMEZ DE LA SERNA;00001406;CALLE;DEL;VALLE DE ENMEDIO
00642300;CALLE;DE;RITA LUNA;00399900;CALLE;DE;JOSÉ CALVO;00238800;PASEO;DE LA;DIRECCIÓN
00642450;CALLE;DE;RIVAS;00002903;AVENIDA;DE LA;GRAN VÍA DEL ESTE;31000097;AUTOVÍA;;M-45
00642600;CALLE;DE;ROA;00333700;CALLE;DE;JOAQUÍN TURINA;00248250;RONDA;DE;DON BOSCO
00642650;CALLE;DE;ROBERTO DOMINGO;00746500;AVENIDA;DE LOS;TOREROS;00491000;CALLE;DE;MARTÍNEZ IZQUIERDO
00642700;CALLE;DEL;ROBLE;00330800;CALLE;DEL;GENERAL MARGALLO;00575400;CALLE;DE;PEDRO VILLAR
00905197;PASEO;DEL;ROBLEDAL;00603600;AVENIDA;DE;PORTUGAL;00002042;LUGAR;;VENTA DEL BATÁN
00905195;CAMINO;DEL;ROBLEDAL;00905222;GLORIETA;DE LAS;SIETE HERMANAS;00905197;PASEO;DEL;ROBLEDAL
00642900;CALLE;DE;ROBLEDILLO;00034700;CALLE;DE;ALONSO CANO;00475300;CALLE;DE;MARÍA DE GUZMÁN
00643000;CALLE;DE;ROBLEDO;00488000;CALLE;DEL;MARQUÉS DE VIANA;00000400;CALLE;DE LA;ABADESA
00643100;PASAJE;DE;ROBLEDO DE CHAVELA;00364500;CALLE;DE;HORCAJUELO;00539500;PLAZA;DE;NUESTRA SEÑORA DEL PILAR
00643200;CALLE;DE LOS;ROBLES;00501300;CALLE;DE;MELQUÍADES BIENCINTO;00516600;AVENIDA;DEL;MONTE IGUELDO
00643300;CALLE;DE;ROBREGORDO;00441300;CALLE;DE;LÓPEZ DE HOYOS;00367000;CALLE;DE;HUELVA
00643600;CALLE;DE;ROCAFORT;00045700;AVENIDA;DE;ANDALUCÍA;00102500;CALLE;DE;BENIMAMET
00643700;CALLE;DE;ROCHAPEA;00531300;CALLE;DE;NAVASCUÉS;00318400;AVENIDA;DE LOS;FUEROS
00001441;CALLE;DE;ROCINANTE;00001431;AVENIDA;DEL;CAMPO DE CALATRAVA;00035600;CALLE;DE;ALONSO QUIJANO
31001360;GLORIETA;DE;ROCÍO DÚRCAL;00554550;AVENIDA;DE;PABLO IGLESIAS;00311100;CALLE;DE;FRANCOS RODRÍGUEZ
31001906;CALLE;DE;ROCÍO JURADO;00079675;CALLE;DE;ASTORGA DE LAS CÁRCAVAS;31001598;AVENIDA;DE;LAS FUERZAS ARMADAS
00001892;CALLE;DE;RODA DE BARÁ;00141550;AVENIDA;DEL;CARDENAL HERRERA ORIA;00578000;CALLE;DE LA;PEÑA DORADA
00905162;CARRETERA;DE;RODAJOS;00001983;PUERTA;;RODAJOS;00001995;GLORIETA;DE LA;ENCINA DEL TRILLO
00643800;CALLE;DE;RODAS;00262000;CALLE;DE;EMBAJADORES;00639680;CALLE;DE LA;RIBERA DE CURTIDORES
00644000;CALLE;DE;RODEZNO;00753900;CALLE;DE;TREVIANA;00748600;CALLE;DE;TORRELAGUNA
31000032;CALLE;DEL;RODIO;00262000;CALLE;DE;EMBAJADORES;00062700;CALLE;DE LA;ANTRACITA
00098301;CALLE;DEL;RODODENDRO;00000715;RONDA;DE LAS;FLORES;00431401;CALLE;DE;MALVALOCA
00000781;PLAZA;DE;RODOLFO Y ERNESTO HALFFTER;00610450;CALLE;DEL;PRÍNCIPE DE VERGARA;00730100;CALLE;DE;SUERO DE QUIÑONES
00644150;CALLE;DE;RODRIGO DE ARANA;00001817;CALLE;DE LA;VIDAUBA;00331250;CALLE;DEL;GENERAL MILLÁN ASTRAY
00644200;CALLE;DE;RODRIGO DE GUEVARA;00691500;CALLE;DE;SANTA ANA;00509900;CALLE;DE;MIRA EL RÍO ALTA
00002136;CALLE;DE;RODRIGO DE TRIANA;00533550;CALLE;DE;NICOLÁS SALMERÓN;00786200;CALLE;DE;VILLAESCUSA
00644300;CALLE;DE;RODRIGO UHAGÓN;00472000;CALLE;DE;MARCELO USERA;00497300;CALLE;DE;MÁXIMO CARAZO
31001987;PLAZA;DE;RODRIGO URÍA;00610450;CALLE;DEL;PRÍNCIPE DE VERGARA;00125200;CALLE;DE LAS;CALERAS
00533000;CALLE;DE;RODRÍGUEZ AYUSO;00018900;CALLE;DE;ALCALÁ;00042500;AVENIDA;DE;AMÉRICA
00644400;CALLE;DE;RODRÍGUEZ ESPINOSA;00517100;CALLE;DEL;MONTE PERDIDO;00144000;CALLE;DE;CARLOS MARTÍN ÁLVAREZ
00644500;CALLE;DE;RODRÍGUEZ ILLANES;00078700;CALLE;DE;ARTURO SORIA;99000001;LUGAR;;FONDO DE SACO
00644600;CALLE;DE;RODRÍGUEZ JAÉN;00494900;CALLE;DE;MATEO INURRIA;00010200;CALLE;DE;AGUSTÍN DE FOXÁ
00644700;CALLE;DE;RODRÍGUEZ LÁZARO;00282410;CALLE;DE;EUGENIA DE MONTIJO;00721700;CALLE;DE;EL SIGLO FUTURO
00644800;CALLE;DE;RODRÍGUEZ MARÍN;00395300;CALLE;DE;JOAQUÍN COSTA;00710300;CALLE;DE;SERRANO
00645000;CALLE;DE;RODRÍGUEZ SAN PEDRO;00661700;CALLE;DE;SAN BERNARDO;00610000;CALLE;DE LA;PRINCESA
00645100;CALLE;DE;RODRÍGUEZ VEGA;00059800;CALLE;DE;ANTONIO MORENO;00576400;CALLE;DEL;PELÍCANO
00645200;CALLE;DE;RODRÍGUEZ VILLAREJO;00640400;CALLE;DE;RICARDO GOIZUETA;00423100;CALLE;DE;JULIÁN RABANEDO
00645300;PLAZA;DE;ROGELIO ENRÍQUEZ;00609700;CALLE;DEL;PRIMERO DE OCTUBRE;00120155;CALLE;DE LOS;CABALLEROS
00645400;CALLE;DE;ROGELIO FOLGUERAS;00018600;AVENIDA;DE LA;ALBUFERA;00591300;CALLE;DE LOS;PICOS DE EUROPA
00002475;PASAJE;DE;ROGELIO MUÑOZ;00764725;CALLE;DE;VALDETORRES DE JARAMA;00645500;CALLE;DE;ROGELIO MUÑOZ
00645500;CALLE;DE;ROGELIO MUÑOZ;00764725;CALLE;DE;VALDETORRES DE JARAMA;00437300;CALLE;DE LA;LIBERACIÓN
00645600;CALLE;DE;ROGELIO OSORIO;00547000;PASEO;DE LOS;OLIVOS;00473900;CALLE;DE;MARÍA DEL CARMEN
