FID;Modelo;Fabricante;Situación;ENLACE;GRAD_X;GRAD_Y
53;207T Step & Twist;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,243962;28,47790337
54;155C Giro de Cintura;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155C.pdf;-16,24380315;28,47802622
55;155D Barra estiramientos;TUYO HPC;Avda. Francisco La Roche;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155D.pdf;-16,24346752;28,47830445
56;155H El Jinete;TUYO HPC;Río Guadalete;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155H.pdf;-16,27652241;28,4737168
57;202T Bicicleta Estática;TUYO HPC;Río Guadalete;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,27651095;28,47368918
58;154G Rueda Grande;TUYO HPC;Río Guadalete;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154G.pdf;-16,27648816;28,47364558
59;155I El Remo;TUYO HPC;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,26357409;28,46122953
60;202T Bicicleta Estática;TUYO HPC;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,26353526;28,46141581
61;154B Esquí de Fondo;TUYO HPC;Avda. Reyes Católicos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/154B.pdf;-16,26322592;28,46290814
62;155E Silla Pectorales;TUYO HPC;Pza. La Victoria;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,25983182;28,45902657
63;202T Bicicleta Estática;TUYO HPC;Pza. Iglesia Cueva Bermeja;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,21687842;28,49621642
64;PF9 Oblic;Novatilu;Río Orinoco;https://www.santacruzdetenerife.es/fileadmin/biosaludables/PF9.pdf;-16,2153461;28,49662911
65;155B Los Patines;TUYO HPC;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,29935916;28,42451996
66;155I El Remo;TUYO HPC;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,29906589;28,4250792
67;207T Step & Twist;TUYO HPC;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/207T.pdf;-16,29872121;28,42601833
68;202T Bicicleta Estática;TUYO HPC;Rambla Añaza;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,29835869;28,42674127
69;159J Espaldera;TUYO HPC;P. VIera y Clavijo;https://www.santacruzdetenerife.es/fileadmin/biosaludables/159J.pdf;-16,26194971;28,46528836
70;159J Espaldera;TUYO HPC;P. La Estrella;https://www.santacruzdetenerife.es/fileadmin/biosaludables/159J.pdf;-16,30597583;28,42962017
71;155D Barra estiramientos;TUYO HPC;P. La Estrella;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155D.pdf;-16,30602034;28,4295665
72;J3709 Barra fija 2 m.;HPC;P. Viera y Clavijo; ;-16,26189316;28,46528215
73;202T Bicicleta Estática;TUYO HPC;Punta de Anaga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,30647564;28,43128118
74;155E Silla Pectorales;TUYO HPC;Punta de Anaga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,30624935;28,43147945
75;155B Los Patines;TUYO HPC;Punta de Anaga;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155B.pdf;-16,30600705;28,43183255
76;155I El Remo;TUYO HPC;Pza. Los Dragos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155I.pdf;-16,19758182;28,5719245
77;202T Bicicleta Estática;TUYO HPC;Pza. Los Dragos;https://www.santacruzdetenerife.es/fileadmin/biosaludables/202T.pdf;-16,19756086;28,571924
78;159J Espaldera;TUYO HPC;Avda. Príncipes de España;https://www.santacruzdetenerife.es/fileadmin/biosaludables/159J.pdf;-16,28669695;28,44968416
79;155E Silla Pectorales;TUYO HPC;Chafira;https://www.santacruzdetenerife.es/fileadmin/biosaludables/155E.pdf;-16,28950493;28,44608974
